Species,Weight,Length,Diagonal,Height,Width
Bream,240,25.4,30,11.52,4.02
Bream,290,26.3,31.2,12.48,4.3056
Bream,340,26.5,31.1,12.3778,4.6961
Bream,363,29,33.5,12.73,4.4555
Bream,430,29,34,12.444,5.134
Bream,450,29.7,34.7,13.6024,4.9274
Bream,500,29.7,34.5,14.1795,5.2785
Bream,390,30,35,12.67,4.69
Bream,450,30,35.1,14.0049,4.8438
Bream,500,30.7,36.2,14.2266,4.9594
Bream,470,31,36.2,14.2628,5.1042
Bream,500,31,36.2,14.3714,4.8146
Bream,500,31.5,36.4,13.7592,4.368
Bream,340,32,37.3,13.9129,5.0728
Bream,600,32,37.2,14.9544,5.1708
Bream,600,32,37.2,15.438,5.58
Bream,950,38.5,44,18.084,6.292
Bream,920,39.5,45.3,18.7542,6.7497
Bream,970,41,45.9,18.6354,6.7473
Bream,950,41,46.5,17.6235,6.3705
Roach,40,14.1,16.2,4.1472,2.268
Roach,60,18.2,20.3,5.2983,2.8217
Roach,70,18.8,21.2,5.5756,2.9044
Roach,80,19.8,22.2,5.6166,3.1746
Roach,120,20,22.2,6.216,3.5742
Roach,0,20.5,22.8,6.4752,3.3516
Roach,110,20.8,23.1,6.1677,3.3957
Roach,180,25.2,27.9,7.0866,3.906
Roach,290,26,29.2,8.8768,4.4968
Roach,270,27,30.6,8.568,4.7736
Roach,390,31.7,35,9.485,5.355
Whitefish,270,26,28.7,8.3804,4.2476
Whitefish,270,26.5,29.3,8.1454,4.2485
Whitefish,300,28,30.8,8.778,4.6816
Whitefish,540,31,34,10.744,6.562
Whitefish,800,36.4,39.6,11.7612,6.5736
Whitefish,500,40,43.5,12.354,6.525
Parkki,50,14.7,16.5,6.8475,2.3265
Parkki,60,15.5,17.4,6.5772,2.3142
Parkki,90,17.7,19.8,7.4052,2.673
Parkki,120,19,21.3,8.3922,2.9181
Parkki,150,20,22.4,8.8928,3.2928
Parkki,140,20.7,23.2,8.5376,3.2944
Parkki,170,20.7,23.2,9.396,3.4104
Parkki,140,21.5,24.1,9.7364,3.1571
Parkki,200,23,25.8,10.3458,3.6636
Parkki,270,25,28,11.088,4.144
Parkki,300,26,29,11.368,4.234
Perch,60,8.4,8.8,2.112,1.408
Perch,30,13.7,14.7,3.528,1.9992
Perch,40,15,16,3.824,2.432
Perch,50,16.2,17.2,4.5924,2.6316
Perch,70,17.4,18.5,4.588,2.9415
Perch,100,18,19.2,5.2224,3.3216
Perch,80,18.7,19.4,5.1992,3.1234
Perch,80,19,20.2,5.6358,3.0502
Perch,90,19.6,20.8,5.1376,3.0368
Perch,90,20,21,5.082,2.772
Perch,110,21,22.5,5.6925,3.555
Perch,120,21,22.5,5.9175,3.3075
Perch,130,21,22.5,5.6925,3.6675
Perch,130,21.3,22.8,6.384,3.534
Perch,120,22,23.5,6.11,3.4075
Perch,120,22,23.5,5.64,3.525
Perch,130,22,23.5,6.11,3.525
Perch,140,22,23.5,5.875,3.525
Perch,110,22,23.5,5.5225,3.995
Perch,130,22.5,24,5.856,3.624
Pike,200,32.3,34.8,5.568,3.3756
Pike,300,34,37.8,5.7078,4.158
Pike,300,35,38.8,5.9364,4.3844
Pike,300,37.3,39.8,6.2884,4.0198
Pike,430,38,40.5,7.29,4.5765
Pike,350,38.5,41,6.396,3.977
Pike,460,42.5,45.5,7.28,4.3225
Pike,500,42.5,45.5,6.825,4.459
Pike,540,43,45.8,7.786,5.1296
Pike,500,45,48,6.96,4.896
Pike,560,46,48.7,7.792,4.87
Pike,700,48,51.2,7.68,5.376
Pike,950,51.7,55.1,8.9262,6.1712
Pike,700,56,59.7,10.6863,6.9849
Pike,800,60,64,9.6,6.144
Pike,900,60,64,9.6,6.144
Pike,600,63.4,68,10.812,7.48
